Timestamp,Experiment Time (minutes),Reads,Selected Raw Samples,Selected Events,Estimated Bases
2023-11-23 10:55,3857,4719,674928317,13577685,12217772
2023-11-23 10:56,3858,4719,674928317,13577685,12217772
2023-11-23 10:57,3859,4719,674928317,13577685,12217772
2023-11-23 10:58,3860,4721,674997161,13578187,12218222
2023-11-23 10:59,3861,4721,674997161,13578187,12218222
2023-11-23 11:00,3862,4721,674997161,13578187,12218222
2023-11-23 11:01,3863,4721,674997161,13578187,12218222
2023-11-23 11:02,3864,4721,674997161,13578187,12218222
2023-11-23 11:03,3865,4722,675089305,13578792,12218766
2023-11-23 11:04,3866,4723,675836643,13585655,12224942
2023-11-23 11:05,3867,4724,675948364,13586657,12225843
2023-11-23 11:06,3868,4724,675948364,13586657,12225843
2023-11-23 11:07,3869,4724,675948364,13586657,12225843
2023-11-23 11:08,3870,4724,675948364,13586657,12225843
2023-11-23 11:09,3871,4725,676003216,13586912,12226072
2023-11-23 11:10,3872,4725,676003216,13586912,12226072
2023-11-23 11:11,3873,4725,676003216,13586912,12226072
2023-11-23 11:12,3874,4725,676003216,13586912,12226072
2023-11-23 11:13,3875,4725,676003216,13586912,12226072
2023-11-23 11:14,3876,4725,676003216,13586912,12226072
2023-11-23 11:15,3877,4725,676003216,13586912,12226072
2023-11-23 11:16,3878,4725,676003216,13586912,12226072
2023-11-23 11:17,3879,4725,676003216,13586912,12226072
2023-11-23 11:18,3880,4725,676003216,13586912,12226072
2023-11-23 11:19,3881,4725,676003216,13586912,12226072
2023-11-23 11:20,3882,4725,676003216,13586912,12226072
2023-11-23 11:21,3883,4725,676003216,13586912,12226072
2023-11-23 11:22,3884,4725,676003216,13586912,12226072
2023-11-23 11:23,3885,4725,676003216,13586912,12226072
2023-11-23 11:24,3886,4725,676003216,13586912,12226072
2023-11-23 11:25,3887,4725,676003216,13586912,12226072
2023-11-23 11:26,3888,4725,676003216,13586912,12226072
2023-11-23 11:27,3889,4725,676003216,13586912,12226072
2023-11-23 11:28,3890,4726,676146574,13589952,12228808
2023-11-23 11:29,3891,4728,676262736,13591251,12229976
2023-11-23 11:30,3892,4728,676262736,13591251,12229976
2023-11-23 11:31,3893,4731,676397553,13593632,12232118
2023-11-23 11:32,3894,4731,676397553,13593632,12232118
2023-11-23 11:33,3895,4731,676397553,13593632,12232118
2023-11-23 11:34,3896,4731,676397553,13593632,12232118
2023-11-23 11:35,3897,4731,676397553,13593632,12232118
2023-11-23 11:36,3898,4731,676397553,13593632,12232118
2023-11-23 11:37,3899,4732,676407480,13593816,12232283
2023-11-23 11:38,3900,4732,676407480,13593816,12232283
2023-11-23 11:39,3901,4732,676407480,13593816,12232283
2023-11-23 11:40,3902,4732,676407480,13593816,12232283
2023-11-23 11:41,3903,4732,676407480,13593816,12232283
2023-11-23 11:42,3904,4732,676407480,13593816,12232283
2023-11-23 11:43,3905,4733,676445883,13594356,12232769
2023-11-23 11:44,3906,4733,676445883,13594356,12232769
2023-11-23 11:45,3907,4734,676453868,13594533,12232928
2023-11-23 11:46,3908,4737,676483870,13594971,12233321
2023-11-23 11:47,3909,4737,676483870,13594971,12233321
2023-11-23 11:48,3910,4739,676759329,13600358,12238169
2023-11-23 11:49,3911,4740,676862075,13603070,12240609
2023-11-23 11:50,3912,4743,677012228,13606840,12244001
2023-11-23 11:51,3913,4745,677255085,13611700,12248374
2023-11-23 11:52,3914,4748,677395732,13614885,12251240
2023-11-23 11:53,3915,4750,677571955,13618415,12254416
2023-11-23 11:54,3916,4751,677649793,13620577,12256361
2023-11-23 11:55,3917,4752,677737694,13622020,12257659
2023-11-23 11:56,3918,4752,677737694,13622020,12257659
2023-11-23 11:57,3919,4752,677737694,13622020,12257659
2023-11-23 11:58,3920,4752,677737694,13622020,12257659
2023-11-23 11:59,3921,4753,677791692,13623069,12258603
2023-11-23 12:00,3922,4753,677791692,13623069,12258603
2023-11-23 12:01,3923,4753,677791692,13623069,12258603
2023-11-23 12:02,3924,4753,677791692,13623069,12258603
2023-11-23 12:03,3925,4754,677894205,13624248,12259664
2023-11-23 12:04,3926,4755,677909724,13624417,12259816
2023-11-23 12:05,3927,4755,677909724,13624417,12259816
2023-11-23 12:06,3928,4755,677909724,13624417,12259816
2023-11-23 12:07,3929,4755,677909724,13624417,12259816
2023-11-23 12:08,3930,4755,677909724,13624417,12259816
2023-11-23 12:09,3931,4756,677916736,13624459,12259853
2023-11-23 12:10,3932,4757,677930596,13624539,12259925
2023-11-23 12:11,3933,4758,678026498,13626150,12261374
2023-11-23 12:12,3934,4758,678026498,13626150,12261374
2023-11-23 12:13,3935,4758,678026498,13626150,12261374
2023-11-23 12:14,3936,4758,678026498,13626150,12261374
2023-11-23 12:15,3937,4758,678026498,13626150,12261374
2023-11-23 12:16,3938,4758,678026498,13626150,12261374
2023-11-23 12:17,3939,4759,678091235,13626833,12261988
2023-11-23 12:18,3940,4760,678178980,13629274,12264184
2023-11-23 12:19,3941,4760,678178980,13629274,12264184
2023-11-23 12:20,3942,4760,678178980,13629274,12264184
2023-11-23 12:21,3943,4761,678253671,13630040,12264873
