Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples
434,103685,0,0,0,2803464975,56074012,50419925,0,0
435,103823,0,0,0,2807984841,56165161,50501899,0,0
436,103978,0,0,0,2811414667,56234810,50564513,0,0
437,104159,0,0,0,2825577189,56602441,50895303,0,0
438,104288,0,0,0,2830294845,56716022,50997464,0,0
439,104436,0,0,0,2835106939,56806446,51078787,0,0
440,104571,0,0,0,2840148286,56898309,51161407,0,0
441,104717,0,0,0,2843784536,56975870,51231145,0,0
442,104854,0,0,0,2846970243,57040494,51289245,0,0
443,105003,0,0,0,2852757971,57173473,51408862,0,0
444,105126,0,0,0,2855642446,57228454,51458298,0,0
445,105275,0,0,0,2862888365,57374902,51590034,0,0
446,105412,0,0,0,2866676565,57449842,51657416,0,0
447,105558,0,0,0,2872067418,57561546,51757879,0,0
448,105699,0,0,0,2878766417,57686566,51870336,0,0
449,105843,0,0,0,2883288856,57790861,51964136,0,0
450,105983,0,0,0,2887032249,57859812,52026131,0,0
451,106119,0,0,0,2894588121,58020469,52170661,0,0
452,106239,0,0,0,2899770592,58133910,52272703,0,0
453,106372,0,0,0,2905003313,58226307,52355803,0,0
454,106497,0,0,0,2907665337,58280795,52404784,0,0
455,106631,0,0,0,2911953466,58367910,52483136,0,0
456,106761,0,0,0,2917248475,58468119,52573266,0,0
457,106890,0,0,0,2920839538,58541004,52638803,0,0
458,107018,0,0,0,2925210394,58628623,52717602,0,0
459,107134,0,0,0,2933372201,58766380,52841532,0,0
460,107274,0,0,0,2938073119,58878483,52942362,0,0
461,107408,0,0,0,2941049202,58938138,52995993,0,0
462,107561,0,0,0,2947262276,59083420,53126680,0,0
463,107702,0,0,0,2951642411,59178772,53212430,0,0
464,107828,0,0,0,2955840660,59285408,53308344,0,0
465,107954,0,0,0,2960803678,59393495,53405563,0,0
466,108105,0,0,0,2968905867,59568421,53562927,0,0
467,108221,0,0,0,2975195665,59699840,53681155,0,0
468,108252,0,0,0,2988460195,60016270,53965927,0,0
469,108252,0,0,0,2988460195,60016270,53965927,0,0
