Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples
470,4023,0,0,0,438190604,9321344,8387358,0,0
471,4028,0,0,0,438525002,9329004,8394249,0,0
472,4043,0,0,0,439340965,9348700,8411967,0,0
473,4049,0,0,0,439846912,9359289,8421495,0,0
474,4052,0,0,0,440138561,9366470,8427957,0,0
475,4054,0,0,0,440248868,9370065,8431192,0,0
476,4058,0,0,0,440492787,9373944,8434681,0,0
477,4064,0,0,0,440946588,9381868,8441810,0,0
478,4070,0,0,0,441187854,9385595,8445162,0,0
479,4078,0,0,0,441669815,9392298,8451191,0,0
480,4085,0,0,0,442930572,9424441,8480117,0,0
481,4096,0,0,0,443592810,9440947,8494968,0,0
482,4106,0,0,0,444164666,9451887,8504811,0,0
483,4115,0,0,0,445305280,9471238,8522223,0,0
484,4120,0,0,0,445617518,9479111,8529307,0,0
485,4128,0,0,0,447527250,9511681,8558615,0,0
486,4134,0,0,0,448068140,9522279,8568150,0,0
487,4141,0,0,0,448571239,9532612,8577446,0,0
488,4151,0,0,0,449887230,9556398,8598849,0,0
489,4155,0,0,0,450065776,9559375,8601527,0,0
490,4162,0,0,0,451764810,9596161,8634630,0,0
491,4171,0,0,0,452652892,9612085,8648958,0,0
492,4177,0,0,0,453075316,9620196,8656254,0,0
493,4181,0,0,0,453443618,9627804,8663100,0,0
494,4190,0,0,0,457384837,9697729,8726028,0,0
495,4199,0,0,0,458281538,9713888,8740567,0,0
496,4208,0,0,0,459126957,9730135,8755186,0,0
497,4217,0,0,0,459705714,9740203,8764243,0,0
498,4226,0,0,0,460628136,9757328,8779652,0,0
499,4229,0,0,0,460848872,9761665,8783554,0,0
500,4235,0,0,0,461233533,9772376,8793191,0,0
501,4237,0,0,0,461360492,9775526,8796025,0,0
502,4241,0,0,0,461706487,9781025,8800972,0,0
503,4246,0,0,0,461903563,9783636,8803319,0,0
504,4249,0,0,0,462289809,9791098,8810034,0,0
505,4255,0,0,0,463910889,9819446,8835545,0,0
506,4257,0,0,0,464015517,9821107,8837039,0,0
