Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples
3692,103012,0,0,0,4988734647,101312955,91135411,0,0
3693,103016,0,0,0,4988968251,101316388,91138498,0,0
3694,103016,0,0,0,4988968251,101316388,91138498,0,0
3695,103018,0,0,0,4988985931,101316782,91138851,0,0
3696,103021,0,0,0,4989077908,101317585,91139573,0,0
3697,103022,0,0,0,4989155474,101320266,91141985,0,0
3698,103023,0,0,0,4990125135,101328840,91149701,0,0
3699,103024,0,0,0,4990205267,101330484,91151180,0,0
3700,103028,0,0,0,4990333468,101332039,91152577,0,0
3701,103031,0,0,0,4990376626,101332882,91153334,0,0
3702,103035,0,0,0,4990535607,101337051,91157084,0,0
3703,103037,0,0,0,4990554295,101337484,91157473,0,0
3704,103037,0,0,0,4990554295,101337484,91157473,0,0
3705,103039,0,0,0,4990688381,101338922,91158766,0,0
3706,103041,0,0,0,4990705155,101339409,91159203,0,0
3707,103045,0,0,0,4991028112,101347236,91166245,0,0
3708,103047,0,0,0,4991372880,101353831,91172180,0,0
3709,103049,0,0,0,4991443800,101355752,91173908,0,0
3710,103052,0,0,0,4991602420,101360726,91178383,0,0
3711,103053,0,0,0,4991637134,101361180,91178791,0,0
3712,103057,0,0,0,4992630888,101394341,91208634,0,0
3713,103061,0,0,0,4995464808,101501404,91304990,0,0
3714,103063,0,0,0,4995704679,101507252,91310252,0,0
3715,103066,0,0,0,4995860905,101510410,91313093,0,0
3716,103068,0,0,0,4996490230,101533802,91334145,0,0
3717,103073,0,0,0,4996615030,101535649,91335806,0,0
3718,103078,0,0,0,4996900067,101541140,91340746,0,0
3719,103079,0,0,0,4997014510,101543283,91342674,0,0
3720,103080,0,0,0,4997076960,101544484,91343754,0,0
3721,103080,0,0,0,4997076960,101544484,91343754,0,0
3722,103084,0,0,0,4997152757,101545730,91344874,0,0
3723,103091,0,0,0,4997337458,101548877,91347703,0,0
3724,103098,0,0,0,4997581702,101552701,91351142,0,0
3725,103104,0,0,0,4998147663,101562395,91359864,0,0
3726,103110,0,0,0,4998602604,101572843,91369266,0,0
3727,103116,0,0,0,4999082387,101582580,91378027,0,0
3728,103124,0,0,0,4999391630,101588916,91383726,0,0
3729,103129,0,0,0,4999634644,101594731,91388957,0,0
3730,103135,0,0,0,5000988495,101618207,91410082,0,0
3731,103145,0,0,0,5002029925,101637659,91427584,0,0
3732,103150,0,0,0,5002185715,101640845,91430449,0,0
3733,103158,0,0,0,5002974435,101655027,91443209,0,0
3734,103165,0,0,0,5004093013,101675548,91461675,0,0
